Name,Price,Producer,Watt,Size,Efficiency Rating
PHANTEKS AMP v2 80 PLUS Gold,$144.34,PHANTEKS,1000 W,ATX,80 PLUS Gold
PHANTEKS Revolt Pro 80 PLUS Gold,$145.68,PHANTEKS,1000 W,ATX,80 PLUS Gold
EVGA SuperNOVA 1000 G2,$158.86,EVGA,1000 W,ATX,80 Plus Gold
MSI MPG A1000G PCIe5,$159.57,MSI,1000 W,ATX,80 PLUS Gold
Seasonic Focus Plus Gold,$177.78,Seasonic,1000 W,ATX,80 PLUS Gold
Corsair RM1000x,$188.59,Corsair,1000 W,ATX,80 Plus Gold
EVGA 1000GQ,$192.22,EVGA,1000 W,ATX,80 Plus Gold
Corsair HX1000,$206.72,Corsair,1000 W,ATX,80 Plus Platinum
PHANTEKS Revolt X 80 PLUS Platinum,$208.51,PHANTEKS,1000 W,ATX,80 PLUS Platinum
Seasonic Prime Ultra 80 PLUS Platinum,$213.74,Seasonic,1000 W,ATX,80 PLUS Platinum
Corsair HX1000i High-Performance ATX Power Supply,$238.63,Corsair,1000 W,ATX,80 Plus Platinum
Seasonic Prime,$261.13,Seasonic,1000 W,ATX,80 Plus Titanium
XFX PRO1000W Black Edition Full Modular,$267.26,XFX,1000 W,ATX,80 Plus Platinum
SilverStone SST-ST1000-PTS Strider Platinum Series 80 PLUS Platinum,$268.19,Silverstone,1000 W,ATX,80 PLUS Platinum
EVGA SuperNOVA 1000 P2,$282.89,EVGA,1000 W,ATX,80 Plus Platinum
EVGA SuperNOVA 1000 T2,$295.21,EVGA,1000 W,ATX,80 Plus Titanium
EVGA SuperNOVA 1050 GS,$84.92,EVGA,1050 W,ATX,80 Plus Gold
PHANTEKS Revolt X 80 PLUS Platinum,$241.32,PHANTEKS,1200 W,ATX,80 PLUS Platinum
SilverStone SST-ST1200-PTS Strider Platinum Series 80 PLUS Platinum,$261.13,Silverstone,1200 W,ATX,80 PLUS Platinum
EVGA SuperNOVA 1200 P2,$308.28,EVGA,1200 W,ATX,80 Plus Platinum
Seasonic Prime 80 PLUS Gold,$239.37,Seasonic,1300 W,ATX,80 PLUS Gold
MSI MEG Ai1300P PCIe5,$274.9,MSI,1300 W,ATX,80 PLUS Platinum
Seasonic Prime 80 PLUS Platinum,$280.73,Seasonic,1300 W,ATX,80 PLUS Platinum
Corsair AX1500i Digital ATX Power Supply,$346.72,Corsair,1500 W,ATX,80 Plus Titanium
EVGA SuperNOVA 1600 G2,$377.97,EVGA,1600 W,ATX,80 Plus Gold
EVGA SuperNOVA 1600 T2,$391.7,EVGA,1600 W,ATX,80 Plus Titanium
EVGA SuperNOVA 1600 P2,$401.09,EVGA,1600 W,ATX,80 Plus Gold
Corsair SF600,$126.93,Corsair,600 W,SFX,80 Plus Gold
Silverstone SST-SX600-G Strider Gold Series,$127.3,Silverstone,600 W,SFX,80 PLUS Gold
Enermax Platimax D.F.,$151.71,Enermax,600 W,ATX,80 Plus Platinum
Seasonic Prime Fanless 80 PLUS Titanium,$224.86,Seasonic,600 W,ATX,80 PLUS Titanium
Corsair VS600,$49.13,Corsair,600 W,ATX,80 Plus
EVGA 600 W1,$49.31,EVGA,600 W,ATX,80 Plus
EVGA 600B,$56.56,EVGA,600 W,ATX,80 Plus Bronze
EVGA 600 BQ,$66.15,EVGA,600 W,ATX,80 Plus
EVGA SuperNOVA 650 G1,$101.55,EVGA,650 W,ATX,80 Plus Gold
Seasonic PRIME 650 GOLD,$103.18,Seasonic,650 W,ATX,80 Plus Gold
Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,$105.17,Thermaltake,650 W,ATX,80 PLUS Gold
Seasonic X-650,$105.48,Seasonic,650 W,ATX,80 Plus Gold
EVGA SuperNOVA 650 G2,$108.8,EVGA,650 W,ATX,80 Plus Gold
Seasonic Focus+,$113.88,Seasonic,650 W,ATX,80 Plus Platinum
EVGA SuperNOVA 650 G3,$114.6,EVGA,650 W,ATX,80 Plus Gold
Seasonic Focus SGX 80 PLUS Gold SFX,$123.31,Seasonic,650 W,"ATX, SFX-L",80 PLUS Gold
Seasonic Prime Ultra,$131.29,Seasonic,650 W,ATX,80 Plus Gold
Corsair RM650i,$132.01,Corsair,650 W,ATX,80 Plus Gold
Silverstone SST-SX650-G SFX 80 PLUS Gold,$133.66,Silverstone,650 W,SFX,80 PLUS Gold
Seasonic Focus PX 80 Plus Platinum 650 Watt,$137.81,Seasonic,650 W,ATX,80 PLUS Platinum
EVGA SuperNOVA 650 P2,$145.03,EVGA,650 W,ATX,80 Plus Platinum
Seasonic Prime Snow Silent 80 PLUS Platinum,$155.26,Seasonic,650 W,ATX,80 PLUS Platinum
EVGA 650 BQ,$54.4,EVGA,650 W,ATX,80 Plus
EVGA 650 N1,$54.4,EVGA,650 W,ATX,80 Plus
Corsair CX650M,$61.65,Corsair,650 W,ATX,80 Plus Bronze
EVGA 650 GQ,$61.65,EVGA,650 W,ATX,80 Plus Gold
Thermaltake Smart Pro RGB 80Plus Bronze modular,$72.53,Thermaltake,650 W,ATX,80 Plus Bronze
Seasonic Focus GX 80 Plus Gold,$76.16,Seasonic,650 W,ATX,80 PLUS Gold
Corsair CX650,$76.16,Corsair,650 W,ATX,80 Plus Bronze
Seasonic Focus Plus Gold,$76.16,Seasonic,650 W,ATX,80 PLUS Gold
EVGA 650 B3,$78.3,EVGA,650 W,ATX,80 Plus Bronze
Seasonic FOCUS 650 GOLD,$86.86,Seasonic,650 W,ATX,80 Plus Gold
Corsair TX650M,$93.57,Corsair,650 W,ATX,80 Plus Gold
EVGA SuperNOVA G3,$94.29,EVGA,650 W,ATX,80 Plus Gold
Thermaltake TR2 S,$40.61,Thermaltake,700 W,ATX,80 Plus
EVGA 700 B1,$58.02,EVGA,700 W,ATX,80 Plus Bronze
EVGA SuperNOVA 750 G3,$101.55,EVGA,750 W,ATX,80 Plus Gold
PHANTEKS AMP 80 PLUS Gold,$105.22,PHANTEKS,750 W,ATX,80 PLUS Gold
Corsair RM750x,$108.8,Corsair,750 W,ATX,80 Plus Gold
Cougar GX-F,$109.81,Cougar,750 W,ATX,80 Plus Gold
EVGA SuperNOVA 750 G2,$114.59,EVGA,750 W,ATX,80 Plus Gold
"be quiet! Straight Power 11, 80 PLUS Gold",$116.05,be quiet!,750 W,ATX,80 PLUS Gold
Seasonic Focus PX 80 Plus Platinum 750 Watt,$119.68,Seasonic,750 W,ATX,80 PLUS Platinum
EVGA 750 GQ,$134.97,EVGA,750 W,ATX,80 Plus Gold
Seasonic Focus+,$140.86,Seasonic,750 W,ATX,80 Plus Platinum
Corsair HX750,$141.44,Corsair,750 W,ATX,80 Plus Platinum
Seasonic Prime Ultra 80 PLUS Platinum,$153.55,Seasonic,750 W,ATX,80 PLUS Platinum
Seasonic Prime Snow Silent 80 PLUS Titanium,$176.06,Seasonic,750 W,ATX,80 PLUS Titanium
Corsair HX750i High-Performance ATX Power Supply,$181.34,Corsair,750 W,ATX,80 Plus Platinum
Seasonic Focus 80 PLUS Gold,$187.13,Seasonic,750 W,"ATX, SFX",80 PLUS Gold
EVGA SuperNOVA 750 P2,$191.27,EVGA,750 W,ATX,80 Plus Platinum
Seasonic Prime,$193.36,Seasonic,750 W,ATX,80 Plus Titanium
EVGA 750 N1,$61.65,EVGA,750 W,ATX,80 Plus
Corsair CX750,$75.64,Corsair,750 W,ATX,80 Plus Bronze
Corsair TX750M,$79.78,Corsair,750 W,ATX,80 Plus Gold
Seasonic Focus Plus Gold,$83.41,Seasonic,750 W,ATX,80 PLUS Gold
Seasonic Focus GX 80 Plus Gold,$90.66,Seasonic,750 W,ATX,80 PLUS Gold
Corsair CX750M,$90.66,Corsair,750 W,ATX,80 Plus Bronze
EVGA SuperNOVA 750 B2,$90.66,EVGA,750 W,ATX,80 Plus Bronze
Seasonic FOCUS 750 GOLD,$90.66,Seasonic,750 W,ATX,80 Plus Gold
EVGA 750 B3,$91.83,EVGA,750 W,ATX,80 Plus Bronze
Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,$98.98,Thermaltake,750 W,ATX,80 PLUS Gold
Corsair AX760i Digital ATX Power Supply,$206.72,Corsair,760 W,ATX,80 Plus Platinum
Seasonic Platinum 760,$31.67,Seasonic,760 W,ATX,80 Plus Platinum
Corsair CX850M,$100.01,Corsair,850 W,ATX,80 Plus Bronze
Corsair TX850M,$101.55,Corsair,850 W,ATX,80 Plus Gold
Thermaltake Smart Pro RGB 80Plus Bronze modular,$113.15,Thermaltake,850 W,ATX,80 Plus Bronze
EVGA SuperNOVA G3,$116.05,EVGA,850 W,ATX,80 Plus Gold
EVGA 850 B3,$117.34,EVGA,850 W,ATX,80 Plus Bronze
PHANTEKS Revolt Pro 80 PLUS Gold,$118.29,PHANTEKS,850 W,ATX,80 PLUS Gold
Corsair RM850x,$123.31,Corsair,850 W,ATX,80 Plus Gold
MSI MPG A850G PCIe5,$123.31,MSI,850 W,ATX,80 PLUS Platinum
Corsair RM850x,$126.93,Corsair,850 W,ATX,80 Plus Gold
EVGA SuperNOVA 850 P2,$130.56,EVGA,850 W,ATX,80 Plus Platinum
Seasonic Focus GX 80 PLUS Gold,$132.86,Seasonic,850 W,ATX,80 PLUS Gold
EVGA SuperNOVA 850 G2,$134.16,EVGA,850 W,ATX,80 Plus Gold
NZXT E850 Modular,$134.16,NZXT,850 W,ATX,80 Plus Gold
EVGA 850 GQ,$137.08,EVGA,850 W,ATX,80 Plus Gold
Seasonic Focus PX 80 PLUS Platinum,$137.81,Seasonic,850 W,ATX,80 PLUS Platinum
Seasonic Focus Plus,$145.07,Seasonic,850 W,ATX,80 Plus Gold
Seasonic Focus+,$145.07,Seasonic,850 W,ATX,80 Plus Platinum
Thermaltake Toughpower Grand RGB 80 PLUS Gold modular,$147.97,Thermaltake,850 W,ATX,80 PLUS Gold
Corsair HX850,$152.32,Corsair,850 W,ATX,80 Plus Platinum
Corsair RM850i,$159.58,Corsair,850 W,ATX,80 Plus Gold
PHANTEKS Revolt SFX 80 PLUS Platinum,$163.2,PHANTEKS,850 W,SFX,80 PLUS Platinum
EVGA SuperNOVA 850 G3,$172.63,EVGA,850 W,ATX,80 Plus Gold
Enermax Platimax,$181.34,Enermax,850 W,ATX,80 Plus Platinum
Corsair HX850i High-Performance ATX Power Supply,$199.47,Corsair,850 W,ATX,80 Plus Platinum
Seasonic Prime,$211.82,Seasonic,850 W,ATX,80 Plus Titanium
Seasonic Prime TX 80 PLUS Titanium,$217.61,Seasonic,850 W,ATX,80 PLUS Titanium
EVGA SuperNOVA 850 T2,$279.26,EVGA,850 W,ATX,80 Plus Titanium
EVGA 850 BQ,$65.28,EVGA,850 W,ATX,80 Plus
